"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2083149","262 Copperleaf Way SE","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$440,000","$440,000.00","$436,000.00","$220.00","1,261","2","2","3 Storey","6","1","Yes","2018","1","14","10/11/2023","Calgary"
"501","A2069405","226 Nolanfield Villas NW","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$429,900","$429,900.00","$436,000.00","$304.34","1,275","2","2","3 Storey","6","1","Yes","2014","0","8","08/05/2023","Calgary"
"501","A2066758","116 Strathlorne Mews SW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$459,900","$449,900.00","$436,000.00","$498.44","1,413","2","1","2 Storey","5","1","No","1981","1","38","08/29/2023","Calgary"
"501","A2077419","53 Sherwood Row NW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$429,900","$429,900.00","$435,500.00","$295.92","1,162","2","2","3 Storey","6","1","Yes","2015","0","13","09/13/2023","Calgary"
"501","A2070333","388 Sandarac Drive NW Unit#70","Common Area Maintenance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$399,900","$399,900.00","$435,500.00","$465.00","1,417","3","2","2 Storey","6","1","Yes","1992","1","4","08/05/2023","Calgary"
"501","A2065942","388 Sandarac Drive NW Unit#127","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Snow Removal","S","$410,000","$410,000.00","$435,500.00","$465.00","1,420","4","3","2 Storey","6","1","Yes","1992","1","8","07/28/2023","Calgary"
"501","A2098642","64 Spring Creek Common SW","Common Area Maintenance, Insurance, Maintenance Grounds, Snow Removal, Trash","S","$429,900","$429,900.00","$435,000.00","$145.00","985","2","2","Townhouse","5","0","Yes","2023","0","7","12/29/2023","Calgary"
"501","A2096905","2015 24 Street SW Unit#2","Common Area Maintenance, Reserve Fund Contributions, See Remarks, Snow Removal","S","$429,900","$429,900.00","$435,000.00","$408.00","1,134","2","1","2 Storey","5","1","No","2000","1","8","12/15/2023","Calgary"
"501","A2094042","1605 Evanston Square NW","Amenities of HOA/Condo, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$449,900","$439,900.00","$435,000.00","$285.49","1,110","2","2","3 Storey","5","1","Yes","2012","0","29","12/16/2023","Calgary"
"501","A2092315","63 Auburn Bay Link SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$439,900","$439,900.00","$435,000.00","$329.11","1,351","2","2","2 Storey","6","1","Yes","2013","0","13","11/22/2023","Calgary"
"501","A2091633","640 Copperpond Boulevard SE","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$419,900","$419,900.00","$435,000.00","$368.86","1,315","2","2","2 Storey","5","1","Yes","2014","0","11","11/14/2023","Calgary"
"501","A2091239","117 Marquis Lane SE","Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$435,000","$435,000.00","$435,000.00","$250.77","1,282","2","2","3 Storey, Side by Side","5","1","Yes","2013","0","14","11/17/2023","Calgary"
"501","A2090394","130 New Brighton Way SE Unit#462","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$418,786","$418,786.00","$435,000.00","$369.39","1,222","3","2","3 Storey","6","1","Yes","2013","0","13","11/11/2023","Calgary"
"501","A2088422","204 Queenston Heights SE","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$435,000","$435,000.00","$435,000.00","$455.43","1,320","3","1","Townhouse","7","1","No","1980","1","13","11/01/2023","Calgary"
"501","A2086377","1503 Auburn Bay Square SE","Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$439,000","$439,000.00","$435,000.00","$323.72","1,157","3","2","2 Storey","6","1","Yes","2011","0","22","11/01/2023","Calgary"
"501","A2085085","45 Kingsland Villas SW","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$399,900","$399,900.00","$435,000.00","$314.00","1,327","3","2","4 Level Split","6","1","Yes","1993","1","7","10/18/2023","Calgary"
"501","A2085063","9 Kingsland Villas SW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$389,900","$389,900.00","$435,000.00","$312.00","1,350","3","2","4 Level Split","6","1","Yes","1993","1","10","10/13/2023","Calgary"
